CustomerID,Recency,Frequency,Monetary,R_Score,M_Score,F_Score,RFM_Score,Segment
12538,29,1,363.95,4,2,1,412,Recent/New Customers
12539,22,5,3852.5,4,5,3,435,Loyal Customers
12540,20,19,13309.04,4,5,5,455,Champions
12541,30,3,981.18,4,4,3,434,Loyal Customers
12544,30,2,355.7,4,2,2,422,Loyal Customers
12545,75,2,1000.39,2,4,2,224,About to Sleep
12546,47,3,1141.5,3,4,3,334,Loyal Customers
12547,198,2,207.8,1,1,2,121,Lost
12548,166,1,95.19999999999999,2,1,1,211,About to Sleep
12550,79,1,964.83,2,4,1,214,About to Sleep
12551,358,1,168.0,1,1,1,111,Lost
12552,39,2,437.82,3,2,2,322,Lost
12553,8,14,3652.25,5,5,5,555,Champions
12556,50,2,599.56,3,3,2,323,Promising Customers
12557,16,5,11990.960000000001,4,5,3,435,Loyal Customers
12558,2,2,1.0658141036401503e-14,5,1,2,521,Loyal Customers
12559,311,3,536.21,1,3,3,133,At Risk
12560,5,4,2101.39,5,5,3,535,Loyal Customers
12561,303,1,238.85,1,1,1,111,Lost
12562,8,7,3781.7400000000002,5,5,4,545,Champions
12564,261,1,456.90000000000003,1,2,1,112,Lost
12565,282,2,131.17000000000002,1,1,2,121,Lost
12566,73,2,346.7,2,2,2,222,About to Sleep
12567,23,11,9114.94,4,5,5,455,Champions
12569,2,35,4064.9900000000002,5,5,5,555,Champions
12571,40,2,519.61,3,3,2,323,Promising Customers
12572,9,3,1004.72,5,4,3,534,Loyal Customers
12573,227,1,160.54000000000002,1,1,1,111,Lost
12574,316,1,218.45000000000002,1,1,1,111,Lost
12576,36,6,1306.98,3,4,4,344,Loyal Customers
12577,35,4,564.2,3,3,3,333,Loyal Customers
12578,21,4,2753.36,4,5,3,435,Loyal Customers
12579,73,3,410.72,2,2,3,232,About to Sleep
12580,247,1,415.7,1,2,1,112,Lost
12581,40,1,197.71,3,1,1,311,Lost
12582,239,2,511.36,1,3,2,123,Lost
12583,3,18,7187.34,5,5,5,555,Champions
12584,4,18,1893.95,5,4,5,554,Champions
12585,234,4,1982.81,1,4,3,134,At Risk
12586,17,2,179.94000000000003,4,1,2,421,Loyal Customers
12587,8,1,144.0,5,1,1,511,Recent/New Customers
12588,39,1,214.89999999999998,3,1,1,311,Lost
12589,29,2,646.68,4,3,2,423,Loyal Customers
12590,190,3,9861.38,1,5,3,135,At Risk
12591,317,1,452.84999999999997,1,2,1,112,Lost
12592,92,2,437.6,2,2,2,222,About to Sleep
12593,109,3,418.1,2,2,3,232,About to Sleep
12594,38,11,3320.2200000000003,3,5,5,355,Loyal Customers
12596,51,2,618.27,3,3,2,323,Promising Customers
12597,19,5,3683.13,4,5,3,435,Loyal Customers
12598,10,9,3002.68,5,5,4,545,Champions
12599,29,7,1032.58,4,4,4,444,Champions
12600,29,11,2581.04,4,5,5,455,Champions
12601,190,6,569.5600000000001,1,3,4,143,At Risk
12602,59,1,153.12,3,1,1,311,Lost
12603,22,1,739.1999999999999,4,3,1,413,Recent/New Customers
12604,79,2,254.18,2,2,2,222,About to Sleep
12607,58,2,7.105427357601002e-15,3,1,2,321,Lost
12609,78,3,1126.85,2,4,3,234,About to Sleep
12610,23,7,2057.99,4,5,4,445,Champions
12611,52,1,1193.32,3,4,1,314,Promising Customers
12612,58,2,643.59,3,3,2,323,Promising Customers
12613,31,6,3218.98,4,5,4,445,Champions
12614,278,1,315.6,1,2,1,112,Lost
12615,2,4,2291.19,5,5,3,535,Loyal Customers
12616,85,5,657.25,2,3,3,233,About to Sleep
12617,29,1,352.98,4,2,1,412,Recent/New Customers
12618,22,1,177.31,4,1,1,411,Recent/New Customers
12619,16,13,3214.81,4,5,5,455,Champions
12620,15,3,1339.41,4,4,3,434,Loyal Customers
12621,2,23,13612.07,5,5,5,555,Champions
12622,232,1,180.1,1,1,1,111,Lost
12623,276,1,305.1,1,2,1,112,Lost
12624,106,2,641.13,2,3,2,223,About to Sleep
12625,212,3,2614.32,1,5,3,135,At Risk
12626,23,13,6388.35,4,5,5,455,Champions
12627,11,7,4478.53,5,5,4,545,Champions
12628,4,4,769.61,5,3,3,533,Loyal Customers
12630,10,2,1270.88,5,4,2,524,Loyal Customers
12631,57,1,640.5,3,3,1,313,Promising Customers
12633,59,5,2140.63,3,5,3,335,Loyal Customers
12635,90,2,1689.18,2,4,2,224,About to Sleep
12637,67,10,5934.25,3,5,4,345,Loyal Customers
12638,33,1,671.69,3,3,1,313,Promising Customers
12639,239,1,486.1,1,3,1,113,Lost
12640,24,3,1174.58,4,4,3,434,Loyal Customers
12641,115,1,185.9,2,1,1,211,About to Sleep
12642,25,3,1013.26,4,4,3,434,Loyal Customers
12643,128,6,3344.64,2,5,4,245,About to Sleep
12644,130,1,477.90999999999997,2,2,1,212,About to Sleep
12645,34,5,1755.38,3,4,3,334,Loyal Customers
12646,5,2,1346.97,5,4,2,524,Loyal Customers
12647,22,13,3669.92,4,5,5,455,Champions
12648,155,1,318.05,2,2,1,212,About to Sleep
12649,107,4,603.71,2,3,3,233,About to Sleep
12650,3,1,314.44,5,2,1,512,Recent/New Customers
12651,335,1,114.0,1,1,1,111,Lost
12652,322,2,914.5300000000001,1,3,2,123,Lost
12653,149,2,2209.85,2,5,2,225,About to Sleep
12654,11,5,601.98,5,3,3,533,Loyal Customers
12656,17,8,3982.72,4,5,4,445,Champions
12657,11,5,1152.06,5,4,3,534,Loyal Customers
12658,19,1,686.05,4,3,1,413,Recent/New Customers
12659,30,1,91.68,4,1,1,411,Recent/New Customers
12660,11,1,245.10000000000002,5,2,1,512,Recent/New Customers
12662,1,12,3817.08,5,5,5,555,Champions
12664,8,10,4863.88,5,5,4,545,Champions
12665,325,2,61.75,1,1,2,121,Lost
12667,58,1,620.13,3,3,1,313,Promising Customers
12668,7,6,3743.1800000000003,5,5,4,545,Champions
12669,151,4,1607.73,2,4,3,234,About to Sleep
12670,10,6,2986.15,5,5,4,545,Champions
12672,330,1,225.9,1,1,1,111,Lost
12673,5,2,610.52,5,3,2,523,Loyal Customers
12674,12,7,1922.26,4,4,4,444,Champions
12676,25,6,1331.39,4,4,4,444,Champions
12678,42,13,17588.26,3,5,5,355,Loyal Customers
12679,52,9,1058.67,3,4,4,344,Loyal Customers
12680,1,4,862.81,5,3,3,533,Loyal Customers
12681,15,27,13677.59,4,5,5,455,Champions
12682,4,31,12279.82,5,5,5,555,Champions
12683,4,20,8221.09,5,5,5,555,Champions
12684,8,7,2283.63,5,5,4,545,Champions
12685,28,6,2863.08,4,5,4,445,Champions
12686,372,1,89.14,1,1,1,111,Lost
12688,114,1,4873.81,2,5,1,215,About to Sleep
12689,26,2,1247.6100000000001,4,4,2,424,Loyal Customers
12690,206,1,389.01,1,2,1,112,Lost
12691,28,6,1035.8,4,4,4,444,Champions
12693,121,6,830.96,2,3,4,243,About to Sleep
12694,70,2,869.67,3,3,2,323,Promising Customers
12695,7,4,582.1,5,3,3,533,Loyal Customers
12697,21,5,939.02,4,4,3,434,Loyal Customers
12700,8,6,4867.99,5,5,4,545,Champions
12701,80,2,797.71,2,3,2,223,About to Sleep
12702,20,1,219.0,4,1,1,411,Recent/New Customers
12703,64,2,274.7,3,2,2,322,Lost
12704,7,10,2220.84,5,5,4,545,Champions
12705,15,14,6814.24,4,5,5,455,Champions
12707,292,1,603.42,1,3,1,113,Lost
12708,30,16,2616.32,4,5,5,455,Champions
12709,3,26,9264.1,5,5,5,555,Champions
12710,97,4,1130.57,2,4,3,234,About to Sleep
12712,23,17,4241.63,4,5,5,455,Champions
12713,1,1,848.55,5,3,1,513,Recent/New Customers
12714,9,5,4708.86,5,5,3,535,Loyal Customers
12715,106,1,343.36,2,2,1,212,About to Sleep
12716,4,2,1053.49,5,4,2,524,Loyal Customers
12717,151,3,980.98,2,4,3,234,About to Sleep
12718,71,1,238.25,2,1,1,211,About to Sleep
12719,5,3,608.1,5,3,3,533,Loyal Customers
12720,3,29,5713.28,5,5,5,555,Champions
12721,32,7,2628.98,3,5,4,345,Loyal Customers
12722,85,6,904.33,2,3,4,243,About to Sleep
12723,4,5,725.07,5,3,3,533,Loyal Customers
12724,5,4,1031.41,5,4,3,534,Loyal Customers
12725,371,1,427.8,1,2,1,112,Lost
12726,28,7,2609.1,4,5,4,445,Champions
12727,11,9,3947.7000000000003,5,5,4,545,Champions
12728,71,4,836.33,2,3,3,233,About to Sleep
12729,114,1,453.01,2,2,1,212,About to Sleep
12731,24,14,18793.41,4,5,5,455,Champions
12732,180,1,236.26000000000002,1,1,1,111,Lost
12733,234,1,383.95,1,2,1,112,Lost
12734,353,1,110.39999999999999,1,1,1,111,Lost
12735,315,2,779.5699999999999,1,3,2,123,Lost
12736,333,1,234.0,1,1,1,111,Lost
12738,372,1,155.35,1,1,1,111,Lost
12739,78,2,1013.04,2,4,2,224,About to Sleep
12740,64,1,427.6,3,2,1,312,Lost
12743,134,2,540.13,2,3,2,223,About to Sleep
12744,52,10,9120.39,3,5,4,345,Loyal Customers
12747,2,11,4196.01,5,5,5,555,Champions
12748,1,223,28405.56,5,5,5,555,Champions
12749,4,8,3868.2,5,5,4,545,Champions
12750,129,1,275.88,2,2,1,212,About to Sleep
12752,81,1,4366.78,2,5,1,215,About to Sleep
12753,4,11,21024.01,5,5,5,555,Champions
12754,236,5,2949.12,1,5,3,135,At Risk
12755,250,4,2203.2000000000003,1,5,3,135,At Risk
12756,87,1,112.08,2,1,1,211,About to Sleep
12757,16,19,4205.25,4,5,5,455,Champions
12758,117,2,2791.59,2,5,2,225,About to Sleep
12759,52,3,1531.44,3,4,3,334,Loyal Customers
12762,8,2,1898.52,5,4,2,524,Loyal Customers
12763,138,2,494.08,2,3,2,223,About to Sleep
12764,317,1,1693.88,1,4,1,114,At Risk
12766,4,7,6989.63,5,5,4,545,Champions
12769,239,1,1143.6,1,4,1,114,At Risk
12770,211,1,1351.45,1,4,1,114,At Risk
12772,60,1,892.47,3,3,1,313,Promising Customers
12775,17,6,1351.24,4,4,4,444,Champions
12778,20,7,804.23,4,3,4,443,Champions
12779,21,12,3868.7,4,5,5,455,Champions
12781,21,5,707.72,4,3,3,433,Loyal Customers
12782,5,6,2273.32,5,5,4,545,Champions
12783,2,8,1603.87,5,4,4,544,Champions
12784,9,2,532.82,5,3,2,523,Loyal Customers
12785,3,2,305.71,5,2,2,522,Loyal Customers
12787,10,3,463.66,5,2,3,532,Loyal Customers
12789,65,1,91.85,3,1,1,311,Lost
12790,192,1,324.92,1,2,1,112,Lost
12791,374,1,192.60000000000002,1,1,1,111,Lost
12792,257,1,400.54,1,2,1,112,Lost
12793,335,2,545.48,1,3,2,123,Lost
12794,53,2,860.41,3,3,2,323,Promising Customers
12795,19,1,430.48,4,2,1,412,Recent/New Customers
12797,360,3,194.18,1,1,3,131,At Risk
12798,10,3,6977.04,5,5,3,535,Loyal Customers
12802,184,2,412.58,1,2,2,122,Lost
12808,37,3,483.65000000000003,3,3,3,333,Loyal Customers
12809,168,2,484.36,2,3,2,223,About to Sleep
12811,261,3,514.85,1,3,3,133,At Risk
12812,45,1,229.64000000000001,3,1,1,311,Lost
12814,102,1,125.92,2,1,1,211,About to Sleep
12815,148,2,1063.46,2,4,2,224,About to Sleep
12816,96,2,572.2,2,3,2,223,About to Sleep
12817,281,1,166.04000000000002,1,1,1,111,Lost
12818,178,2,1517.88,1,4,2,124,At Risk
12820,3,4,942.34,5,4,3,534,Loyal Customers
12821,214,1,92.72,1,1,1,111,Lost
12822,71,3,918.98,2,4,3,234,About to Sleep
12823,75,5,1759.5,2,4,3,234,About to Sleep
12824,60,1,397.12,3,2,1,312,Lost
12826,3,8,1468.1200000000001,5,4,4,544,Champions
12827,6,3,430.15,5,2,3,532,Loyal Customers
12828,3,6,1018.71,5,4,4,544,Champions
12829,322,3,253.05,1,2,3,132,At Risk
12830,38,7,6748.4,3,5,4,345,Loyal Customers
12831,262,1,215.05,1,1,1,111,Lost
12832,32,2,383.03000000000003,3,2,2,322,Lost
12833,145,1,417.38,2,2,1,212,About to Sleep
12834,283,1,312.38,1,2,1,112,Lost
12836,59,4,2610.36,3,5,3,335,Loyal Customers
12837,173,1,134.1,2,1,1,211,About to Sleep
12838,34,2,671.95,3,3,2,323,Promising Customers
12839,3,16,5583.62,5,5,5,555,Champions
12840,144,6,2714.27,2,5,4,245,About to Sleep
12841,5,26,3845.63,5,5,5,555,Champions
12842,70,2,1118.99,3,4,2,324,Promising Customers
12843,66,9,1680.76,3,4,4,344,Loyal Customers
12844,29,2,325.96000000000004,4,2,2,422,Loyal Customers
12845,267,4,354.09000000000003,1,2,3,132,At Risk
12847,22,1,843.64,4,3,1,413,Recent/New Customers
12849,31,2,1010.29,4,4,2,424,Loyal Customers
12851,97,1,131.81,2,1,1,211,About to Sleep
12852,290,2,299.75,1,2,2,122,Lost
12853,108,9,1881.7,2,4,4,244,About to Sleep
12854,79,5,1280.9,2,4,3,234,About to Sleep
12855,373,1,38.1,1,1,1,111,Lost
12856,8,8,2153.53,5,5,4,545,Champions
12857,211,2,1106.4,1,4,2,124,At Risk
12863,52,2,504.2,3,3,2,323,Promising Customers
12864,138,1,147.12,2,1,1,211,About to Sleep
12865,26,3,1548.07,4,4,3,434,Loyal Customers
12866,283,1,559.12,1,3,1,113,Lost
12867,26,10,3958.74,4,5,4,445,Champions
12868,186,6,1607.0600000000002,1,4,4,144,At Risk
12871,84,2,380.64,2,2,2,222,About to Sleep
12872,327,2,599.97,1,3,2,123,Lost
12873,282,1,374.0,1,2,1,112,Lost
12875,143,2,343.2300000000001,2,2,2,222,About to Sleep
12876,58,2,2218.02,3,5,2,325,Promising Customers
12877,4,12,1535.77,5,4,5,554,Champions
12878,18,3,841.64,4,3,3,433,Loyal Customers
12879,45,4,552.57,3,3,3,333,Loyal Customers
12881,276,1,298.0,1,2,1,112,Lost
12882,9,2,1463.04,5,4,2,524,Loyal Customers
12883,25,4,703.47,4,3,3,433,Loyal Customers
12884,88,1,309.05,2,2,1,212,About to Sleep
12885,63,4,1158.27,3,4,3,334,Loyal Customers
12886,68,3,1351.09,3,4,3,334,Loyal Customers
12888,214,4,313.77,1,2,3,132,At Risk
12890,24,1,376.71999999999997,4,2,1,412,Recent/New Customers
12891,186,3,331.0,1,2,3,132,At Risk
12893,31,1,176.55,4,1,1,411,Recent/New Customers
12895,42,3,347.3,3,2,3,332,Loyal Customers
12897,205,2,216.5,1,1,2,121,Lost
12901,9,36,16293.1,5,5,5,555,Champions
12902,265,1,138.68,1,1,1,111,Lost
12904,18,2,496.06,4,3,2,423,Loyal Customers
12906,12,5,2919.81,4,5,3,435,Loyal Customers
12908,59,4,246.0,3,2,3,332,Loyal Customers
12909,40,8,2128.83,3,5,4,345,Loyal Customers
12910,23,8,3075.04,4,5,4,445,Champions
12912,3,5,1662.3,5,4,3,534,Loyal Customers
12913,5,5,2483.63,5,5,3,535,Loyal Customers
12915,149,2,363.65,2,2,2,222,About to Sleep
12916,139,5,2921.15,2,5,3,235,About to Sleep
12917,128,1,594.0,2,3,1,213,About to Sleep
12919,8,8,1301.44,5,4,4,544,Champions
12920,17,1,162.78,4,1,1,411,Recent/New Customers
12921,4,50,16389.74,5,5,5,555,Champions
12922,161,1,405.38,2,2,1,212,About to Sleep
12923,64,1,172.82,3,1,1,311,Lost
12924,88,5,929.95,2,4,3,234,About to Sleep
12925,5,2,694.05,5,3,2,523,Loyal Customers
12928,35,5,2062.7,3,5,3,335,Loyal Customers
12929,122,2,105.1,2,1,2,221,About to Sleep
12930,78,4,409.90000000000003,2,2,3,232,About to Sleep
12931,22,20,33462.81,4,5,5,455,Champions
12933,24,4,606.28,4,3,3,433,Loyal Customers
12935,2,8,2156.45,5,5,4,545,Champions
12936,17,5,1012.9,4,4,3,434,Loyal Customers
12937,15,4,1504.27,4,4,3,434,Loyal Customers
12938,26,1,114.14,4,1,1,411,Recent/New Customers
12939,64,8,11581.8,3,5,4,345,Loyal Customers
12940,46,4,862.44,3,3,3,333,Loyal Customers
12942,131,3,675.6,2,3,3,233,About to Sleep
12944,36,2,604.51,3,3,2,323,Promising Customers
12945,288,1,462.95,1,2,1,112,Lost
12947,144,11,1407.29,2,4,5,254,About to Sleep
12948,16,8,2053.7,4,5,4,445,Champions
